Doreisa 0.1.5 (distributed scheduling)
    041803496032026445447218530998294373872 1 40 long_warmup=False 170.16521334648132
    328257803548055035992851435924231679057 2 80 long_warmup=False 185.2690351009369
    072945439685372310487777234438122186388 4 160 long_warmup=False 195.1859700679779
    136792775252594745030971817005727721714 8 320 long_warmup=False 219.19524550437927
    302380651989805379216342886660365733927 16 640 long_warmup=False 244.32251572608948
    046755621743702036185711062609135580718 32 1280 long_warmup=False 311.8170154094696
    248276058777615333259052415577936482037 64 2560 long_warmup=False 453.9083671569824
    313472021236979895529693080824876785007 128 5120 long_warmup=False 928.2888233661652
    059746281361645171820442606671622108850 254 10160 2950.756                             (*)

Doreisa 0.1.6 (task graph sending optimization):
    135118209298179732619763711218011099660 1 40 long_warmup=False 167.9294991493225
    280657000642255539740124504997479063867 2 80 long_warmup=False 187.20595002174377
    134478416613729549458267664998191490581 4 160 long_warmup=False 198.46129059791565
    207240247511149631511708468547447033285 8 320 long_warmup=False 211.9185733795166
    164247725347318180602114884584175381433 16 640 long_warmup=False 236.47691249847412
    072182539077171895282263784769408314066 32 1280 long_warmup=False 297.59584069252014
    225021412716753913312473411096634866160 64 2560 long_warmup=False 412.58087515830994
    232301887245265249340483806904454317901 128 5120 long_warmup=False 739.9024617671967
    200090500908326088813239325621880689885 255 10200 1429.899                             (*)

Doreisa 0.2.0 (dask optimizations disabled):
    132945215446021050196871523752743705859 1 40 long_warmup=False 178.11741948127747
    212513994748990843180064174661640861209 2 80 long_warmup=False 190.73099851608276
    088144469660983527332061568236070205132 4 160 long_warmup=False 200.87194085121155
    037909324372860554823738492554481668281 8 320 long_warmup=False 213.81749749183655
    036745763390550852986419443941100276654 16 640 long_warmup=False 231.81460738182068
    288439326205251719819629550329922487174 32 1280 long_warmup=False 270.27225136756897
    223989022721497109870415504512851641615 64 2560 long_warmup=False 352.6077449321747
    241554466730426330600199925220143099416 128 5120 long_warmup=False 549.4023287296295
    062912277996245524708011174288773708792 255 10200 long_warmup=False 995.9735310077667

(*) computed manually from the timestep file (experiment terminated before its end)
